conector,fuente,municipio_u_organismo,url,requiere_cuenta_para_ver,metodo_lectura,estado_verificacion,notas
sibom,SIBOM (boletines municipales PBA),~135 municipios de la Provincia,https://sibom.slyt.gba.gob.ar/search?q[simple_query_string]=neumatico&q[terms][type]=Licitación,no,GET scraping HTML (class=search-result) + suscripcion por mail como backup,probado-funciona,"Filtros GET: q[simple_query_string], q[terms][type]=Licitación, q[terms][bulletin.city_id], q[date_ranges][bulletin.published_at][gte|lte]. Armar diccionario city_id desde /cities"
pbac,PBAC - Provincia de Buenos Aires Compras,Organismos provinciales + Vialidad + municipios adheridos,https://pbac.cgp.gba.gov.ar/ListarAperturaProxima.aspx,no (solo para ver),Scraping grilla ASP.NET __doPostBack o bajar 'Reporte Excel',parcialmente-verificado,"~475 procesos de apertura proxima al mirar. Campos: nro, objeto, tipo, fecha/hora apertura, organismo. Tambien buscaravanzado.aspx"
bac_ocds,Datos abiertos BAC / CABA (OCDS),Gobierno de la Ciudad de Buenos Aires,https://data.buenosaires.gob.ar/dataset/buenos-aires-compras,no,Descargar dataset OCDS (JSON/CSV) y filtrar por descripcion de item,a-verificar,"Verificar latencia de publicacion: si no es diario/tiempo real pierde valor para 'apertura proxima'. Repo: github.com/datosgcba/bac-open-contracting"
comprar_ocds,Datos abiertos Nacion (COMPR.AR / CONTRAT.AR),Organismos nacionales (ej. Correo Argentino),https://datos.gob.ar/dataset?tags=Contrataciones,no,Descargar dataset OCDS y filtrar,a-verificar,"Solo si un organismo nacional entra al alcance. COMPR.AR = bienes/servicios; CONTRAT.AR = obra publica"
municipal_html,Portal RAFAM (reutilizable multi-municipio),Moron (+ otros a relevar),https://apps.moron.gob.ar/ext/rafam_portal/licitaciones/licitaciones.php?tipo=publica,no,Scraping HTML - 1 regla sirve para todos los municipios que usan RAFAM,a-verificar,"Relevar que otros municipios de PBA usan RAFAM con la misma estructura de URL"
municipal_html,Portal propio - listado HTML,Tres de Febrero,https://www.tresdefebrero.gov.ar/licitacionespublicaciones2026/,no,Scraping HTML simple,a-verificar,"Tambien /finanzasymodernizacion/contrataciones/"
municipal_html,Portal propio - listado HTML,Merlo,https://www.merlo.gob.ar/licitaciones/,no,Scraping HTML simple,a-verificar,
municipal_html,Portal propio - listado HTML,Berazategui,https://berazategui.gob.ar/licitaciones/,no,Scraping HTML simple,a-verificar,
municipal_html,Portal propio - listado HTML,Quilmes,https://quilmes.gov.ar/servicios/licitaciones.php,no,Scraping HTML simple,a-verificar,
municipal_html,Portal propio - listado HTML,Florencio Varela,http://varela.gob.ar/lic/,no,Scraping HTML simple,a-verificar,
municipal_html,Portal propio - listado HTML,Avellaneda,https://www.mda.gob.ar/tramites/licitaciones/,no,Scraping HTML simple,a-verificar,
sin_portal,Solo telefono / mail,Ituzaingo,https://www.miituzaingo.gov.ar/,si (gestion humana),No se automatiza - cubrir por SIBOM + llamada,confirmado-sin-portal,"Direccion de Compras 5068-9327 / Jefe de Compras 5068-9389 / Licitaciones 5068-9384"
sin_portal,Solo mail,La Plata,https://www.laplata.gob.ar/,si,SIBOM + mail proveedores@laplata.gob.ar,a-verificar,"Capital provincial - flota grande de obras/servicios/transito"
sin_portal,Solo mail/telefono,Esteban Echeverria,https://www.estebanecheverria.gob.ar/secretaria-de-hacienda/,si,SIBOM + interno 102 (compras) tel 4367-6200,a-verificar,
sin_portal,Solo mail/telefono,Ezeiza,https://www.ezeiza.gob.ar/areas_de_gobierno-compras.php,si,SIBOM + Adriana Perez (compras) 4885-9000 int 154 aperez@ezeiza.gob.ar,a-verificar,
registro_hecho,Registro de proveedor ya realizado,La Matanza,https://www.lamatanza.gov.ar/,no,"Deteccion por SIBOM/PBAC. Portales: produccion.lamatanza.gov.ar/compremunicipal y PBAC",a-verificar,"Municipio mas grande del pais. Compras: Almafuerte 3050 2 piso San Justo. CLAVE: ver si recoleccion de residuos es propia o tercerizada"
registro_hecho,Registro de proveedor ya realizado,Moron,https://apps.moron.gob.ar/insc_proveedores/,no,Deteccion por portal RAFAM + SIBOM,a-verificar,
registro_hecho,Registro de proveedor ya realizado,Hurlingham,https://www.hurlingham.gob.ar/,no,Deteccion por SIBOM/PBAC,a-verificar,
registro_hecho,Registro de proveedor ya realizado,Almirante Brown,https://www.almirantebrown.gov.ar/,no,Deteccion por SIBOM/PBAC,a-verificar,
municipal_html,Portal propio (a clasificar),Moreno,https://www.moreno.gob.ar/,no,A relevar (en la planilla solo hay una busqueda de Google),a-verificar,
sin_portal,A relevar,Lomas de Zamora,https://www.lomasdezamora.gov.ar/,,SIBOM,a-verificar,"En planilla: 'calculo que no va' (sin portal claro)"
sin_portal,A relevar,Lanus,https://www.lanus.gob.ar/,,SIBOM,a-verificar,"En planilla: 'calculo que no va'"
agregador,Pliego (comercial),Nacion + CABA + 135 municipios PBA + 21 provincias,https://pliegoapp.com/,si (suscripcion paga),Servicio externo - opcion BUY,a-verificar-precio,"Ya usa SIBOM. IA filtra por rubro. Alternativa a construir el radar"
agregador,Licitar / licit.ar (comercial),410 fuentes / 24 jurisdicciones,https://licit.ar/,si (suscripcion paga),Servicio externo - opcion BUY,a-verificar-precio,"Plan Pro ~ARS 250k/mes incluye municipal. API solo Enterprise (min 5 usuarios)"
agregador,Licita Ya (comercial),Nacional/provincial/municipal,https://www.licitaya.com.ar/,si (suscripcion paga),Servicio externo - opcion BUY,a-verificar-precio,
