fuente,id_origen,comprador,objeto,tipo,fecha_publicacion,fecha_apertura,estado,categoria_zona,es_ruido,keywords,url,fragmento,primera_vez_visto,vista_ultima_corrida,ultima_vez_visto
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15450/contents/2422693,Berazategui,Decreto Nº555 en el boletín 157º de Berazategui,,29/07/2026,,,objetivo,no,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15450/contents/2422693,"Licitacion Privada 31/2026 para el objeto ""Adquisicion de baterias para flota rodante municipal"" ...",2026-08-31,2026-09-01,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15325/contents/2412681,Bahia Blanca,Decreto Nº1163 en el boletín 499º de Bahia Blanca,,08/07/2026,,,volumen_alto,si,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15325/contents/2412681,", y; CONSIDERANDO: Que la presente contratación consiste en el alquiler de equipos telefónicos para el Proceso Apell, el cual incluye 20 equipos transceptores comunes, reposición de baterías ... […] no antiexplosivos, 5 equipos transceptores portátiles intrínsecamente seguros con reposición de baterías , 9 transceptores portátiles, reposición de baterías , 2 equipos base completo y el mantenimiento bases ... […] a la firma BAHIA COMUNICACIONES S.A. - Proveedor Nº 5.375, el alquiler de 5 (CINCO) Equipos Transceptores portátiles, intrinsecameante seguros con reposición de baterias , 20 (VEINTE) ",2026-08-31,2026-08-31,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15325/contents/2412285,Bahia Blanca,Decreto Nº1415 en el boletín 499º de Bahia Blanca,,08/07/2026,,,volumen_alto,si,"bateria,baterias",https://sibom.slyt.gba.gob.ar/bulletins/15325/contents/2412285,"reguladora, batería y antena omnidireccional, y 5 equipos transceptores portátiles, intrínsecamente seguros con reposición de baterías ; Que a fojas 7, el Comité Técnico Ejecutivo, fundamenta ... […] - Transceptores Portátiles Sistema de Trunking, incluye 1 (uno) Equipo Base Completo con Fuente Reguladora, Batería y Antena Omnidireccional y 5 (cinco) Equipos Transceptores Portátiles intrínsecamente seguros ... […] , con reposición de baterías , por el período comprendido entre el 1 de julio y el 31 de diciembre de 2026, por un total de $22.960.782; Por todo lo expuesto, el INTENDENTE MUNICIPAL",2026-08-31,2026-08-31,2026-09-04
pbac,2026-50-101-293,103.13.4.1 - Dir. Pcial. Hospitales - Hospital M.V.De Martinez - Tigre,BATERIAS PARA GRUPO ELECTROGENO,Procedimiento Abreviado,,04/09/2026 10:00 Hrs.,Publicado,,si,bateria,https://pbac.cgp.gba.gov.ar/ListarAperturaProxima.aspx,,2026-08-31,2026-08-31,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15416/contents/2422544,Mercedes,Decreto Nº1038/2026 en el boletín 107º de Mercedes,,30/07/2026,10/06/2026,adjudicada,volumen_alto,no,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/15416/contents/2422544,"es la adquisición de cubiertas ... […] - -MERCEDES-COMP#SEH, caratulado “Concurso de Precios N° 33/2026 – Adquisición de cubiertas ”, y; ... […] .000,00 (Pesos veinticuatro millones ochocientos noventa mil con 00/100 centavos) la compra de cubiertas , según lo especificado en el Pliego de Bases y Condiciones obrante en el EX-2026-00047451- -MERCEDES-COMP#SEH ...",2026-08-28,2026-09-01,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15468/contents/2423123,Tandil,Decreto Nº2364/2026 en el boletín 349º de Tandil,,29/07/2026,,adjudicada,volumen_alto,no,"neumatico,neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/15468/contents/2423123,", y el ítem N°2 a la mejor oferta, Proveedor LARROCA NEUMATICOS S […] ) Proveedor LAROCCA NEUMATICOS S.A.: Ítem N° 2 por un valor de $3.769.740,00 (tres millones setecientos […] El Concurso de Precios N° 64-03-26 “ADQUISICION NEUMATICOS PARA CARGA Y TRANSPORTE",2026-08-28,2026-09-01,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15286/contents/2410659,Tandil,Decreto Nº2070/2026 en el boletín 345º de Tandil,,01/07/2026,,,volumen_alto,no,"llanta,llantas",https://sibom.slyt.gba.gob.ar/bulletins/15286/contents/2410659,de la compra de llantas y cubiertas del tractor Massey Ferguson 265 que se utiliza para tareas de mantenimiento dentro ... […] La solicitud realizada por el Ente Administrador del Parque Industrial […] a lo dispuesto por la Ordenanza N°12.646 y poder cubrir los gastos de la compra de llantas y cubiertas del tractor Massey Ferguson 265 que se utiliza para tareas ...,2026-08-28,2026-09-01,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/14909/contents/2392207,Nueve de Julio,Decreto Nº689/2026 en el boletín 121º de Nueve de Julio,,02/06/2026,,adjudicada,volumen_alto,no,"neumatico,neumaticos",https://sibom.slyt.gba.gob.ar/bulletins/14909/contents/2392207,"Que corresponde dictar acto administrativo expreso, de conformidad a las constancias enunciadas ... […] La comunicación NO–2026-00012016-MUNINUE-SSC#SAH. El expediente Nº 4082-262/26. La solicitud de la Secretaría de Obras y Servicios Públicos y la Secretaria de Gobierno. Las invitaciones a cotizar y los presupuestos ... […] LLAMADO A LICITACION Nº 13 - NEUMATICOS - ADJUDICACIÓN. ...",2026-08-28,2026-08-31,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15141/contents/2400537,General San Martín,Decreto Nº00097/26 en el boletín 2040º de General San Martín,,04/06/2026,,,objetivo,si,"cubierta,cubiertas",https://sibom.slyt.gba.gob.ar/bulletins/15141/contents/2400537,Ampliando monto de obra Cubierta playón deportivo del Parque José Hernández y ampliando plazo de obra. ...,2026-08-28,2026-08-28,2026-09-04
sibom,https://sibom.slyt.gba.gob.ar/bulletins/15545/contents/2435466,Quilmes,Decreto Nº1846/2026 en el boletín 567º de Quilmes,,31/08/2026,,,objetivo,no,gomeria,https://sibom.slyt.gba.gob.ar/bulletins/15545/contents/2435466,": Gomería , alineación y balanceo.- Domicilio: Calle Vicente Lopez Nº 429, localidad de Quilmes ...",2026-08-31,2026-09-01,2026-09-01
