municipio,categoria_zona,es_ruido,fecha_publicacion,titulo,url,tags,keywords_match,fragmento
Mercedes,volumen_alto,no,30/07/2026,Decreto Nº1038/2026 en el boletín 107º de Mercedes,https://sibom.slyt.gba.gob.ar/bulletins/15416/contents/2422544,adjudicacion | concurso precios 33,"cubierta,cubiertas","es la adquisición de cubiertas ... […] - -MERCEDES-COMP#SEH, caratulado “Concurso de Precios N° 33/2026 – Adquisición de cubiertas ”, y; ... […] .000,00 (Pesos veinticuatro millones ochocientos noventa mil con 00/100 centavos) la compra de cubiertas , según lo especificado en el Pliego de Bases y Condiciones obrante en el EX-2026-00047451- -MERCEDES-COMP#SEH ..."
Tandil,volumen_alto,no,29/07/2026,Decreto Nº2364/2026 en el boletín 349º de Tandil,https://sibom.slyt.gba.gob.ar/bulletins/15468/contents/2423123,2364/2026,"neumatico,neumaticos",", y el ítem N°2 a la mejor oferta, Proveedor LARROCA NEUMATICOS S […] ) Proveedor LAROCCA NEUMATICOS S.A.: Ítem N° 2 por un valor de $3.769.740,00 (tres millones setecientos […] El Concurso de Precios N° 64-03-26 “ADQUISICION NEUMATICOS PARA CARGA Y TRANSPORTE"
Tandil,volumen_alto,no,01/07/2026,Decreto Nº2070/2026 en el boletín 345º de Tandil,https://sibom.slyt.gba.gob.ar/bulletins/15286/contents/2410659,2070/2026,camaras y llantas,de la compra de llantas y cubiertas del tractor Massey Ferguson 265 que se utiliza para tareas de mantenimiento dentro ... […] La solicitud realizada por el Ente Administrador del Parque Industrial […] a lo dispuesto por la Ordenanza N°12.646 y poder cubrir los gastos de la compra de llantas y cubiertas del tractor Massey Ferguson 265 que se utiliza para tareas ...
General San Martín,objetivo,no,04/06/2026,Decreto Nº00097/26 en el boletín 2040º de General San Martín,https://sibom.slyt.gba.gob.ar/bulletins/15141/contents/2400537,cubierta playon,"cubierta,cubiertas",Ampliando monto de obra Cubierta playón deportivo del Parque José Hernández y ampliando plazo de obra. ...
Nueve de Julio,volumen_alto,no,02/06/2026,Decreto Nº689/2026 en el boletín 121º de Nueve de Julio,https://sibom.slyt.gba.gob.ar/bulletins/14909/contents/2392207,compra de neumaticos,"neumatico,neumaticos","Que corresponde dictar acto administrativo expreso, de conformidad a las constancias enunciadas ... […] La comunicación NO–2026-00012016-MUNINUE-SSC#SAH. El expediente Nº 4082-262/26. La solicitud de la Secretaría de Obras y Servicios Públicos y la Secretaria de Gobierno. Las invitaciones a cotizar y los presupuestos ... […] LLAMADO A LICITACION Nº 13 - NEUMATICOS - ADJUDICACIÓN. ..."
General Villegas,volumen_alto,no,07/04/2026,Ordenanza Nº6742/25 en el boletín 189º de General Villegas,https://sibom.slyt.gba.gob.ar/bulletins/14708/contents/2369148,ordenanza 6742,recapado,"VISTO: El Expediente Nº 11966/25, iniciado por la Directora de Rentas, elevando el proyecto de ordenanza tendiente a actualizar ... […] Gomerías, vulcanización, recapado , etc. $ 10,800 ... […] Gomerías, vulcanización, recapado , etc. $ 3,413.06 ..."
Coronel Dorrego,volumen_alto,no,02/02/2026,Decreto Nº2968/2025 en el boletín 193º de Coronel Dorrego,https://sibom.slyt.gba.gob.ar/bulletins/14255/contents/2343986,baja habilitación municipal comercio,gomeria,"que en la mencionada nota, el Sr. Raúl Cesareo Rodríguez solicita se otorgue la baja, por cese de actividades comerciales en el rubro “ Gomería ” otorgada mediante Resolución recaída en Expte Nº 1077/01, local ubicado ... […] la nota presentada mediante Expte. 1963/25 por el Sr. Raúl Cesareo Rodríguez ... […] ARTÍCULO 1°) Dése de baja a la Habilitación Municipal en el rubro “ Gomería ” , por cese de actividades solicitada por el Sr. RAÚL CESAREO ..."
Bahia Blanca,volumen_alto,no,22/12/2025,Resolución Nº204 en el boletín 473º de Bahia Blanca,https://sibom.slyt.gba.gob.ar/bulletins/14073/contents/2323271,,recapado,"Municipal; y, CONSIDERANDO Que el agente Gino Gustavo GALVAN, legajo N°17.388 asiste el día martes 2 de diciembre de 2025 a la localidad de Coronel Pringles a fin de retirar dos neumáticos recapados por la firma Duhau, elementos ..."
Coronel Pringles,volumen_alto,no,05/12/2025,Decreto Nº1358/25 en el boletín 251º de Coronel Pringles,https://sibom.slyt.gba.gob.ar/bulletins/13978/contents/2317422,,"cubierta,cubiertas,recapado","Que a fs. 01 solicita autorización para la compra de cubiertas para maquinarias viales pesadas, camiones y camionetas. La compra de las mismas será para recambio de las unidades debido al desgaste lógico del uso. Siendo ... […] dicha adquisición compartida entre las áreas de Vialidad y Servicios Urbanos; Que las cubiertas deberán ser mixtas para carretera, obras y cantera teniendo en cuenta que se utilizan tanto para viajes a corta ... […] . 2 y 3 se adjunta detalle de cantidad y medidas de las cubiertas necesarias para cada área; Que por lo expuesto se llama a Concurso de Precios N° 50/25 par"
General Viamonte,volumen_alto,no,17/11/2025,Decreto Nº423 en el boletín 354º de General Viamonte,https://sibom.slyt.gba.gob.ar/bulletins/13888/contents/2310268,,"cubierta,cubiertas","Que, de conformidad con lo peticionado por el Jefe de Compras, según las solicitudes de pedido N° 2501, 2495, 2491, 2490, 2489 y de gasto 1-2799, 1 ... […] La necesidad de proceder al LLAMADO a LICITACIÓN PRIVADA N° 08/2025, para la “ADQUISICION DE NEUMATICOS NUEVOS ... […] : OBJETO 1: 2 Cubiertas 15/6.00 X 6 P/tractor cespedero ..."
