municipio,city_id
Adolfo Alsina,1
Adolfo Gonzales Chaves,2
Alberti,3
Almirante Brown,4
Arrecifes,5
Avellaneda,6
Ayacucho,7
Azul,8
Bahia Blanca,9
Balcarce,10
Baradero,11
Benito Juarez,12
Berazategui,13
Berisso,14
Bolivar,15
Bragado,16
Brandsen,17
Campana,18
Capitán Sarmiento,20
Carlos Casares,21
Carlos Tejedor,22
Carmen de Areco,23
Castelli,24
Cañuelas,19
Chacabuco,30
Chascomús,31
Chivilcoy,32
Colón,25
Coronel Dorrego,26
Coronel Pringles,27
Coronel Rosales,28
Coronel Suárez,29
Daireaux,33
De la Costa,34
Dolores,36
Ensenada,37
Escobar,38
Esteban Echeverría,39
Exaltación de la Cruz,40
Ezeiza,41
Florencio Varela,42
Florentino Ameghino,43
General Alvarado,44
General Alvear,45
General Arenales,46
General Belgrano,47
General Guido,48
General La Madrid,49
General Las Heras,50
General Lavalle,51
General Madariaga,52
General Paz,53
General Pinto,54
General Pueyrredon,55
General Rodríguez,56
General San Martín,57
General Viamonte,58
General Villegas,59
Guaminí,60
Hipólito Yrigoyen,61
Hurlingham,62
Ituzaingó,63
José C. Paz,64
Junín,65
La Matanza,136
La Plata,66
Lanús,67
Laprida,68
Las Flores,69
Leandro N. Alem,70
Lezama,71
Lincoln,72
Lobería,73
Lobos,74
Lomas de Zamora,75
Lujan,76
Magdalena,77
Maipú,78
Malvinas Argentinas,79
Mar Chiquita,80
Marcos Paz,81
Mercedes,82
Merlo,83
Monte,84
Monte Hermoso,85
Moreno,86
Morón,87
Navarro,88
Necochea,89
Nueve de Julio,90
Olavarria,91
Patagones,92
Pehuajó,93
Pellegrini,94
Pergamino,95
Pila,96
Pilar,35
Pinamar,97
Presidente Perón,98
Puan,99
Punta Indio,100
Quilmes,101
Ramallo,102
Rauch,103
Rivadavia,104
Rojas,105
Roque Pérez,106
Saavedra,107
Saladillo,108
Salliquelo,109
Salto,110
San Andrés de Giles,111
San Antonio de Areco,112
San Cayetano,113
San Fernando,114
San Isidro,115
San Miguel,116
San Nicolás,117
San Pedro,118
San Vicente,119
Suipacha,120
Tandil,121
Tapalqué,122
Tigre,123
Tordillo,124
Tornquist,125
Trenque Lauquen,126
Tres Arroyos,127
Tres Lomas,129
Tres de Febrero,128
Veinticinco de Mayo,130
Vicente López,131
Villa Gesell,132
Villarino,133
Zárate,134
